,Choose your track,1- What is your current level expertise in computer programming?,2- How often do you code or work on tech related projects in your free time?,3- How often do you keep up with tech news and trends?,4- Were you willing to learn and work with programming languages?,"5-  Was your choice based on enjoying working with visual elements, such as layout and design?","7- Did you have interest in analyzing and studying user's behavior , needs and challenges?",8- Did you have a strong background in mathematics and enjoyed solving complex mathematical problems?,9-Did you enjoy working with data to solve real world problems?,10- Were you interested in data research and analysis?,11- Were you passionate about data analysis and deriving insights from data sets?,12- Did you have interest in using algorithms that can learn and improve from data?,13- Were you interested in server-side programming and building the backbone of applications?,14- Did you have interest in creating innovative and creative software?,15- Was you choice based on using mobile apps frequently and having ideas for new ones?,16- Were you concerned about the security of digital systems and data?,"17- Did you enjoy learning about encryption, firewalls and network protection",18- Did you enjoy creative problem-solving and design thinking?,6- Did you have interest creating responsive and interactive web pages
,Front-end,Intermediate,Never,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Intermediate,Never,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Intermediate,Daily,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Monthly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Daily,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Cyber Security,Expert,Rarely,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Weekly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Intermediate,Daily,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Expert,Weekly,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Cyber Security,Intermediate,Rarely,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Machine Learning,Intermediate,Rarely,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Intermediate,Never,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Monthly,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Beginner,Rarely,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Data Science,Expert,Weekly,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Weekly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Beginner,Rarely,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Beginner,Never,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Expert,Daily,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Intermediate,Rarely,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Beginner,Monthly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Intermediate,Rarely,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Back-end,Beginner,Never,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,UI/UX,Beginner,Weekly,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Weekly,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Never,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Expert,Daily,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Monthly,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Daily,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Intermediate,Monthly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Beginner,Monthly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Beginner,Daily,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Back-end,Intermediate,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Weekly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Expert,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Intermediate,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Intermediate,Rarely,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Beginner,Never,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Never,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Rarely,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Beginner,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Intermediate,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Never,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Rarely,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Data Science,Beginner,Rarely,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Cyber Security,Expert,Monthly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Beginner,Daily,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Beginner,Daily,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Beginner,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Expert,Daily,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Rarely,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Intermediate,Monthly,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Expert,Never,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Intermediate,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Data Science,Intermediate,Never,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,UI/UX,Expert,Weekly,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Rarely,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Intermediate,Monthly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Beginner,Rarely,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Expert,Rarely,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Intermediate,Weekly,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Expert,Daily,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Beginner,Monthly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,UI/UX,Beginner,Never,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Daily,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Weekly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Beginner,Never,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Weekly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Expert,Monthly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Expert,Rarely,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Back-end,Expert,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Beginner,Monthly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Expert,Monthly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Daily,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Beginner,Daily,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Expert,Never,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Beginner,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Monthly,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Beginner,Never,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Beginner,Never,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Weekly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Expert,Never,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Monthly,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Weekly,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Rarely,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Cyber Security,Expert,Weekly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Intermediate,Daily,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Beginner,Monthly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Never,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Intermediate,Daily,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Weekly,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Intermediate,Rarely,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Intermediate,Monthly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Data Science,Intermediate,Rarely,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Monthly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Beginner,Rarely,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Monthly,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Monthly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Intermediate,Weekly,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Rarely,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Beginner,Weekly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Beginner,Monthly,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Intermediate,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,UI/UX,Expert,Never,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Monthly,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Intermediate,Monthly,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Intermediate,Weekly,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Rarely,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Intermediate,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Intermediate,Never,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Beginner,Monthly,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Back-end,Intermediate,Never,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Expert,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Weekly,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Beginner,Rarely,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Beginner,Daily,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Intermediate,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Expert,Monthly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Expert,Daily,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Monthly,Never,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Expert,Rarely,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Weekly,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Daily,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Monthly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Expert,Rarely,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Monthly,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Cyber Security,Expert,Weekly,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Expert,Weekly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Beginner,Never,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Expert,Never,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Beginner,Monthly,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Weekly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Beginner,Rarely,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Expert,Rarely,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Monthly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Intermediate,Rarely,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Beginner,Daily,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,UI/UX,Intermediate,Never,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Monthly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Beginner,Never,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Beginner,Rarely,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Expert,Monthly,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Beginner,Rarely,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Back-end,Expert,Monthly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,UI/UX,Intermediate,Monthly,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Never,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Beginner,Rarely,Weekly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Beginner,Daily,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Mobile applications,Beginner,Never,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Expert,Rarely,Weekly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Intermediate,Monthly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Expert,Monthly,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Back-end,Beginner,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Front-end,Expert,Daily,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Intermediate,Monthly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Intermediate,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Intermediate,Never,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Intermediate,Rarely,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Beginner,Rarely,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Front-end,Beginner,Weekly,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Daily,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Intermediate,Monthly,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Intermediate,Daily,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Never,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Intermediate,Monthly,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Data Science,Beginner,Weekly,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Cyber Security,Expert,Weekly,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Beginner,Monthly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Intermediate,Rarely,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Beginner,Never,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Expert,Never,Weekly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Data Science,Beginner,Rarely,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Machine Learning,Expert,Daily,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Intermediate,Monthly,Never,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Intermediate,Daily,Daily,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Expert,Never,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Expert,Weekly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,UI/UX,Expert,Never,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Daily,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Expert,Monthly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Machine Learning,Expert,Never,Monthly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Front-end,Expert,Daily,Monthly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Weekly,Rarely,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Back-end,Expert,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,UI/UX,Beginner,Monthly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Weekly,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Expert,Monthly,Daily,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Cyber Security,Intermediate,Weekly,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,UI/UX,Beginner,Weekly,Monthly,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Beginner,Monthly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Back-end,Expert,Rarely,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Beginner,Never,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Back-end,Intermediate,Never,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Data Science,Intermediate,Rarely,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Back-end,Beginner,Monthly,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Front-end,Expert,Rarely,Daily,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Mobile applications,Beginner,Rarely,Monthly,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Beginner,Monthly,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Mobile applications,Expert,Monthly,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Machine Learning,Intermediate,Weekly,Never,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Mobile applications,Intermediate,Never,Rarely,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,Cyber Security,Beginner,Weekly,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Front-end,Intermediate,Weekly,Never,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Weekly,Weekly,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Never,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,UI/UX,Beginner,Weekly,Rarely,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Front-end,Beginner,Daily,Rarely,Yes,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Data Science,Expert,Daily,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Cyber Security,Beginner,Daily,Monthly,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Expert,Monthly,Rarely,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Cyber Security,Beginner,Rarely,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Back-end,Beginner,Daily,Never,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes
,Cyber Security,Beginner,Weekly,Daily,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No
,Machine Learning,Intermediate,Weekly,Daily,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
,Data Science,Intermediate,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Expert,Monthly,Weekly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Never,Rarely,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Data Science,Beginner,Never,Monthly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
,Mobile applications,Beginner,Weekly,Daily,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No
,UI/UX,Expert,Never,Never,No,Yes,yes,No,No,No,No,No,No,No,No,No,No,No,Yes
,Machine Learning,Expert,Daily,Weekly,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
